id,games,assists,steals,blocks,personal_fouls,ofensive_rebounds,defensive_rebounds,points
3731,37.0,7.4,0.0,0.0,40.7,0.0,0.0,55.5
3732,123.0,387.1,0.0,0.0,225.8,0.0,0.0,934.7
3733,188.0,127.9,70.50000000000001,32.900000000000006,319.9,142.10000000000002,258.29999999999995,1078.3
3734,119.0,121.0,0.0,0.0,169.5,0.0,0.0,495.29999999999995
3735,52.0,20.400000000000002,0.0,0.0,81.60000000000001,0.0,0.0,102.0
3736,34.0,37.400000000000006,0.0,0.0,47.599999999999994,0.0,0.0,115.6
3737,401.0,1072.7000000000003,0.0,0.0,1304.1,0.0,0.0,4548.2
3738,1256.0,1525.1000000000001,646.3000000000001,935.8,3880.0,2048.8,4332.8,9787.699999999999
3739,996.0,3075.0,0.0,0.0,3425.2000000000003,0.0,0.0,18445.300000000003
3740,54.0,108.0,0.0,0.0,113.4,0.0,0.0,437.4
3741,185.0,27.700000000000003,35.5,11.5,139.70000000000002,86.0,100.1,353.1
